,id,name,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,등록년월,제품 분류,디스크 크기,디스크 용량,인터페이스,회전수,버퍼 용량,전송 속도,기록방식,디스크 수,두께,내구성/소음작업부하량,A/S 정보2년,KC인증적합성평가인증,KC인증안전확인인증,내구성/소음소음(유휴/탐색),부가기능헬륨충전,부가기능RV센서,내구성/소음사용보증,A/S 정보5년,A/S 정보데이터 복구 3년,부가기능DSA,부가기능S.M.A.R.T 지원,A/S 정보3년,부가기능저전력,부가기능ISE,부가기능SED,A/S 정보데이터 복구 2년,A/S 정보1년,review_size,review_mean,review_count,final_score,Test,Rank
0,6545078,"Seagate BarraCuda 7200/256M (ST2000DM008, 2TB)",https://img.danawa.com/prod_img/500000/078/545/img/6545078_1.jpg?shrink=330:330&_v=20220629141246,82000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6545078&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5525236499&package=0&setpc=0&r=16678747914794,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.7,"(5,083)",Seagate,2018년 10월,HDD (PC용),8.9cm(3.5인치),2TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,최대 220MB/s,SMR(PMR),플래터 1장,20.2mm,55 TB/Y,○,MSIP-REM-STX-SKR005 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,,,,,,,,,,,,,,,52,0.02,5135,51.49222954010423,2.622829268292683,1
1,1706996,"Western Digital WD BLUE 7200/64M (WD10EZEX, 1TB)",https://img.danawa.com/prod_img/500000/996/706/img/1706996_1.jpg?shrink=330:330&_v=20210412173807,59200.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=1706996&cmpnyc=TJ918&safe_trade=4&fee_type=T&link_pcode=S5803172&package=0&setpc=0&r=16678747994177,전자랜드 프라이스킹,https://img.danawa.com/cmpny_info/images/TJ918_logo.gif,4.7,"(2,534)",Western Digital WD,2012년 06월,HDD (PC용),8.9cm(3.5인치),1TB,SATA3(6Gb/s),"7,200RPM",메모리 64MB,최대 150MB/s,CMR(PMR),,25.4mm,,○,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,29/30dB,,,,,,,,,,,,,,35,0.03,2569,31.305865489258395,2.414527027027027,2
2,5173062,"Seagate BarraCuda 5400/256M (ST4000DM004, 4TB)",https://img.danawa.com/prod_img/500000/062/173/img/5173062_1.jpg?shrink=330:330&_v=20220629141314,122610.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5173062&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5489028583&package=0&setpc=0&r=16678748124380,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.7,"(4,597)",Seagate,2017년 05월,HDD (PC용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"5,400RPM",메모리 256MB,최대 190MB/s,SMR(PMR),플래터 2장,20.2mm,55 TB/Y,○,MSIP-REM-STX-SKR002 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,22/24dB,,,,,,,,,,,,,,65,0.46,4662,34.82273869578115,2.1650762580539924,3
3,5764992,"Seagate BarraCuda 5400/256M (ST8000DM004, 8TB)",https://img.danawa.com/prod_img/500000/992/764/img/5764992_1.jpg?shrink=330:330&_v=20220629141336,199000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5764992&cmpnyc=TT729D&safe_trade=4&fee_type=N&link_pcode=6474830570&package=0&setpc=0&r=16678748041682,꿈누리,,4.7,"(1,334)",Seagate,2017년 11월,HDD (PC용),8.9cm(3.5인치),8TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 190MB/s,SMR(PMR),플래터 4장,26.11mm,55 TB/Y,○,MSIP-REM-STX-SKR004 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,23/25dB,,,,,,,,,,,,,,69,0.65,1403,20.20180185427477,1.4368643216080401,4
4,9721383,"Seagate BarraCuda 5400/256M/해외구매 (ST8000DM004, 8TB)",https://img.danawa.com/prod_img/500000/383/721/img/9721383_1.jpg?shrink=330:330&_v=20200528093624,150470.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=9721383&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4198765158&package=0&setpc=0&r=16678748749703,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(512),Seagate,2019년 10월,HDD (PC용),8.9cm(3.5인치),8TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 190MB/s,SMR(PMR),플래터 4장,26.11mm,55 TB/Y,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,23/25dB,,,,,,,,,,,,,,47,0.51,559,20.720450705976173,1.2925234265966639,5
5,6288809,"도시바 P300 7200/64M (HDWD120, 2TB)",https://img.danawa.com/prod_img/500000/809/288/img/6288809_1.jpg?shrink=330:330&_v=20211115130146,82900.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6288809&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=6288809&package=0&setpc=0&r=16678750987828,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.7,(468),도시바,2018년 07월,HDD (PC용),8.9cm(3.5인치),2TB,SATA3 (6Gb/s),"7,200RPM",메모리 64MB,,CMR(PMR),,26.1mm,,○,KCC-REM-TSD-DT01ACA100 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,27/28dB,,,,,,○,,,,,,,,26,0.04,494,16.77547006128798,1.2877683956574186,6
6,8038456,"도시바 N300 7200/128M (HDWQ140, 4TB)",https://img.danawa.com/prod_img/500000/456/038/img/8038456_1.jpg?shrink=330:330&_v=20220228093945,154880.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=8038456&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=8038456&package=0&setpc=0&r=16678750572437,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.6,(196),도시바 ( 제조사 웹사이트 바로가기),2019년 05월,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"7,200RPM",메모리 128MB,최대 204MB/s,CMR(PMR),,26.1mm,180 TB/Y,,MSIP-REM-TSD-MG04ACP500E 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,30dB,,○,100만시간,,,○,,○,,,,,,45,-0.04,241,21.82338253407237,1.18775826446281,7
7,3440288,"Western Digital WD BLUE 5400/64M (WD40EZRZ, 4TB)",https://img.danawa.com/prod_img/500000/288/440/img/3440288_1.jpg?shrink=330:330&_v=20210412173911,149900.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=3440288&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2856514792&package=0&setpc=0&r=16678752336355,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,"(1,268)",Western Digital WD,2015년 09월,HDD (PC용),8.9cm(3.5인치),4TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,최대 150MB/s,CMR(PMR),,26.1mm,,○,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,25/28dB,,,,,,,,,,,,,,40,0.35,1308,23.06199255746717,1.0993995997331554,8
8,7691845,"Western Digital WD BLUE 5400/256M (WD20EZAZ, 2TB)",https://img.danawa.com/prod_img/500000/845/691/img/7691845_1.jpg?shrink=330:330&_v=20200528094213,75990.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=7691845&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5552982930&package=0&setpc=0&r=16678749892353,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.7,(633),Western Digital WD,2019년 04월,HDD (PC용),8.9cm(3.5인치),2TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 170MB/s,SMR(PMR),,26.1mm,,○,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,21/26dB,,,,,,,,,,,,,,19,-0.11,652,21.567942276870284,1.0196341623897882,9
9,4490034,"Seagate BarraCuda 7200/64M (ST1000DM010, 1TB)",https://img.danawa.com/prod_img/500000/034/490/img/4490034_1.jpg?shrink=330:330&_v=20220629140659,69000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=4490034&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2512284717&package=0&setpc=0&r=16678750083116,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,"(1,633)",Seagate,2016년 09월,HDD (PC용),8.9cm(3.5인치),1TB,SATA3 (6Gb/s),"7,200RPM",메모리 64MB,최대 210MB/s,TGMR,플래터 1장,20.2mm,55 TB/Y,○,KCC-REM-STX-STR009 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,22/23dB,,,,,,,,,,,,,,14,0.43,1647,21.93562963965205,0.8363478260869566,10
10,5862779,"Western Digital WD MOBILE BLUE 5400/128M/노트북용 (WD20SPZX, 2TB)",https://img.danawa.com/prod_img/500000/779/862/img/5862779_1.jpg?shrink=330:330&_v=20210830113147,89830.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=978&cate4=0&pcode=5862779&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5489036656&package=0&setpc=0&r=16678749087166,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.7,(742),Western Digital WD,2018년 02월,HDD (노트북용),6.4cm(2.5인치),2TB,SATA3 (6Gb/s),"5,400RPM",메모리 128MB,,SMR(PMR),,7mm,,○,MSIP-REM-WDT-0066 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,23/24dB,,,,,,,,,,,,,,17,-0.12,759,20.679415038442144,0.7675832127351664,11
11,7616842,Western Digital Ultrastar DC HC310 패키지 7200/256M HUS726T4TALA6L4 (4TB),https://img.danawa.com/prod_img/500000/842/616/img/7616842_1.jpg?shrink=330:330&_v=20211019134532,179000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=7616842&cmpnyc=PV406&safe_trade=4&fee_type=A&link_pcode=181&package=0&setpc=0&r=16678749274162,시에스엠플러스,https://img.danawa.com/cmpny_info/images/PV406_logo.gif,4.8,(332),Western Digital,2019년 04월,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,최대 243MB/s,확인요망(PMR),플래터 4장,26.1mm,,,MSIP-REM-WDT-US7SAN6T0 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,29/36dB,,○,200만시간,,,○,○,○,,,,,,27,0.11,359,17.73804650690278,0.6151173184357542,12
12,15765761,"Western Digital WD BLUE 5640/128M (WD80EAZZ, 8TB)",https://img.danawa.com/prod_img/500000/761/765/img/15765761_1.jpg?shrink=330:330&_v=20211206151137,186970.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=15765761&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565696168&package=0&setpc=0&r=16678747955968,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.7,(186),Western Digital WD,2021년 11월,HDD (PC용),8.9cm(3.5인치),8TB,SATA3(6Gb/s),"5,640RPM",메모리 128MB,185MB/s,CMR(PMR),,26.1mm,,○,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,25/30dB,,,,,,,,,,,,,,24,0.08,210,19.317115257606822,0.532962507354121,13
13,7137016,"Sebap Amigos 7200/32M/리퍼비시 (SM1050RS, 500GB)",https://img.danawa.com/prod_img/500000/016/137/img/7137016_1.jpg?shrink=330:330&_v=20200528134423,24400.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=17942&cate4=0&pcode=7137016&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2567872750&package=0&setpc=0&r=16678760968280,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,(7),Sebap,2019년 01월,HDD (리퍼비시),8.9cm(3.5인치),500GB,SATA3 (6Gb/s),"7,200RPM",메모리 32MB,최대 140MB/s,확인요망(PMR),,26.1mm,,,R-R-BdC-SM1050RS 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,,,,,,,,,,,,,,,3,-1.0,10,19.592232175065075,0.4977049180327869,14
14,13522751,"Western Digital WD BLUE 7200/256M (WD20EZBX, 2TB)",https://img.danawa.com/prod_img/500000/751/522/img/13522751_1.jpg?shrink=330:330&_v=20210305135225,77950.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=13522751&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565686072&package=0&setpc=0&r=16678748202141,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.8,(288),Western Digital WD,2021년 03월,HDD (PC용),8.9cm(3.5인치),2TB,SATA3(6Gb/s),"7,200RPM",메모리 256MB,215MB/s,SMR(PMR),,26.1mm,,○,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,25/27dB,,,,,,,,,,,,,,9,-0.11,297,16.915183274470614,0.47014753046824886,15
15,1795206,"도시바 DT01 7200/64M (DT01ACA300, 3TB)",https://img.danawa.com/prod_img/500000/206/795/img/1795206_1.jpg?shrink=330:330&_v=20200528112851,102270.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=1795206&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2290769309&package=0&setpc=0&r=16678755105686,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.6,"(1,216)",도시바,2012년 09월,HDD (PC용),8.9cm(3.5인치),3TB,SATA3(6Gb/s),"7,200RPM",메모리 64MB,,,,26.1mm,,○,KCC-REM-TSD-DT01ACA100 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,27/28dB,,,,,,,,,,,,,,11,-0.18,1227,26.62850117590345,0.4424953554317004,16
16,13590608,"Western Digital WD BLUE 5400/256M (WD40EZAZ, 4TB)",https://img.danawa.com/prod_img/500000/608/590/img/13590608_1.jpg?shrink=330:330&_v=20210312175441,116810.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=13590608&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565686285&package=0&setpc=0&r=16678749838936,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.7,(269),Western Digital WD,2021년 03월,HDD (PC용),8.9cm(3.5인치),4TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 180MB/s,SMR(PMR),,26.1mm,,○,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,23/27dB,,,,,,,,,,,,,,12,0.5,281,21.86672176942376,0.41832034928516393,17
17,6288821,"도시바 P300 7200/64M (HDWD130, 3TB)",https://img.danawa.com/prod_img/500000/821/288/img/6288821_1.jpg?shrink=330:330&_v=20211115130302,109900.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6288821&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=6288821&package=0&setpc=0&r=16678750941548,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.7,(402),도시바,2018년 07월,HDD (PC용),8.9cm(3.5인치),3TB,SATA3 (6Gb/s),"7,200RPM",메모리 64MB,,CMR(PMR),,26.1mm,,○,KCC-REM-TSD-DT01ACA100 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,27/28dB,,,,,,○,,,,,,,,11,0.09,413,17.89123977515715,0.4109736123748863,18
18,3474055,"Western Digital WD BLUE 5400/64M (WD20EZRZ, 2TB)",https://img.danawa.com/prod_img/500000/055/474/img/3474055_1.jpg?shrink=330:330&_v=20200528094214,79000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=3474055&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2239533833&package=0&setpc=0&r=16678752426148,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,"(1,228)",Western Digital WD,2015년 10월,HDD (PC용),8.9cm(3.5인치),2TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,최대 147MB/s,확인요망(PMR),,26.1mm,,○,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,23/27dB,,,,,,,,,,,,,,5,0.2,1233,26.591603506970635,0.26139240506329114,19
19,2212162,"Western Digital WD RED 5400/64M (WD40EFRX, 4TB)",https://img.danawa.com/prod_img/500000/162/212/img/2212162_1.jpg?shrink=330:330&_v=20200729134517,159000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=2212162&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1480219444&package=0&setpc=0&r=16678750641658,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.8,(820),Western Digital WD,2013년 09월,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,최대 150MB/s,CMR(PMR),플래터 3장,26.1mm,180 TB/Y,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,25/28dB,,,100만시간,,,,,○,,,,,,10,0.1,830,21.779322668688238,0.2588679245283019,20
20,5764951,"Seagate BarraCuda 5400/256M (ST6000DM003, 6TB)",https://img.danawa.com/prod_img/500000/951/764/img/5764951_1.jpg?shrink=330:330&_v=20220629141328,165000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5764951&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=7882133606&package=0&setpc=0&r=16678748085815,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,4.6,(131),Seagate,2017년 11월,HDD (PC용),8.9cm(3.5인치),6TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 185MB/s,SMR(PMR),플래터 3장,26.11mm,55 TB/Y,○,MSIP-REM-STX-SKR004 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,23/25dB,,,,,,,,,,,,,,10,0.2,141,16.12345123015428,0.2511515151515151,21
21,6295581,"도시바 X300 7200/128M (HDWE140, 4TB)",https://img.danawa.com/prod_img/500000/581/295/img/6295581_1.jpg?shrink=330:330&_v=20200528134742,150000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6295581&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1485098604&package=0&setpc=0&r=16678750901994,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,(190),도시바,2018년 07월,HDD (PC용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"7,200RPM",메모리 128MB,,확인요망(PMR),,26.1mm,,○,MSIP-REM-TSD-MG04ACP500E 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,31dB,,,60만시간,,,○,,,,,,,,8,-0.12,198,14.611538075063295,0.21898666666666666,22
22,6295608,"도시바 X300 7200/256M (HDWR180, 8TB)",https://img.danawa.com/prod_img/500000/608/295/img/6295608_1.jpg?shrink=330:330&_v=20200528134739,279000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6295608&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3972153289&package=0&setpc=0&r=16678750381047,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.6,(49),도시바,2018년 07월,HDD (PC용),8.9cm(3.5인치),8TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,,확인요망(PMR),,26.1mm,,○,MSIP-REM-TSD-MG06ACA10TE 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,33dB,,,60만시간,,,○,,,,,,,,14,0.29,63,14.753913103402022,0.2060358422939068,23
23,5814316,"Western Digital WD PURPLE 5400/64M (WD40PURZ, 4TB)",https://img.danawa.com/prod_img/500000/316/814/img/5814316_1.jpg?shrink=330:330&_v=20200528104836,158000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=5814316&cmpnyc=TU48C&safe_trade=4&fee_type=N&link_pcode=5081894203&package=0&setpc=0&r=16678751474537,WD공식인증점,,4.7,(341),Western Digital WD,2018년 01월,HDD (CCTV용),8.9cm(3.5인치),4TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,최대 150MB/s,CMR(PMR),,26.1mm,180 TB/Y,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,25/28dB,,,100만시간,,,,,○,,,,,,8,0.38,349,20.490267922091736,0.20486075949367089,24
24,5638941,"Seagate BarraCuda 5400/256M/해외구매 (ST4000DM004, 4TB)",https://img.danawa.com/prod_img/500000/941/638/img/5638941_1.jpg?shrink=330:330&_v=20200528093625,81540.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5638941&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1688486464&package=0&setpc=0&r=16678748808756,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.6,(195),Seagate,2017년 11월,HDD (PC용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"5,400RPM",메모리 256MB,,SMR(PMR),,20mm,55 TB/Y,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,,,,,,,,,,,,,,,4,0.75,199,11.074967282516733,0.20328673043904832,25
