product_id,product_name,product_image,product_price,shop_link,shop_name,shop_logo,review_score,review_score_count,company_name,hdd_category,disk_size,disk_capacity,hdd_interface,hdd_rpm,buffer_capacity,transfer_speed,record_system,disk_count,hdd_thickness
6545078,"Seagate BarraCuda 7200/256M (ST2000DM008, 2TB)",https://img.danawa.com/prod_img/500000/078/545/img/6545078_1.jpg?shrink=330:330&_v=20220629141246,82000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6545078&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5525236499&package=0&setpc=0&r=16678747914794,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.7,5083,Seagate,HDD (PC용),8.9cm(3.5인치),2TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,최대 220MB/s,SMR(PMR),플래터 1장,20.2mm
1706996,"Western Digital WD BLUE 7200/64M (WD10EZEX, 1TB)",https://img.danawa.com/prod_img/500000/996/706/img/1706996_1.jpg?shrink=330:330&_v=20210412173807,59200,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=1706996&cmpnyc=TJ918&safe_trade=4&fee_type=T&link_pcode=S5803172&package=0&setpc=0&r=16678747994177,전자랜드 프라이스킹,https://img.danawa.com/cmpny_info/images/TJ918_logo.gif,4.7,2534,Western Digital WD,HDD (PC용),8.9cm(3.5인치),1TB,SATA3(6Gb/s),"7,200RPM",메모리 64MB,최대 150MB/s,CMR(PMR),,25.4mm
5173062,"Seagate BarraCuda 5400/256M (ST4000DM004, 4TB)",https://img.danawa.com/prod_img/500000/062/173/img/5173062_1.jpg?shrink=330:330&_v=20220629141314,122610,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5173062&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5489028583&package=0&setpc=0&r=16678748124380,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.7,4597,Seagate,HDD (PC용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"5,400RPM",메모리 256MB,최대 190MB/s,SMR(PMR),플래터 2장,20.2mm
5764992,"Seagate BarraCuda 5400/256M (ST8000DM004, 8TB)",https://img.danawa.com/prod_img/500000/992/764/img/5764992_1.jpg?shrink=330:330&_v=20220629141336,199000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5764992&cmpnyc=TT729D&safe_trade=4&fee_type=N&link_pcode=6474830570&package=0&setpc=0&r=16678748041682,꿈누리,,4.7,1334,Seagate,HDD (PC용),8.9cm(3.5인치),8TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 190MB/s,SMR(PMR),플래터 4장,26.11mm
9721383,"Seagate BarraCuda 5400/256M/해외구매 (ST8000DM004, 8TB)",https://img.danawa.com/prod_img/500000/383/721/img/9721383_1.jpg?shrink=330:330&_v=20200528093624,150470,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=9721383&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4198765158&package=0&setpc=0&r=16678748749703,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,512,Seagate,HDD (PC용),8.9cm(3.5인치),8TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 190MB/s,SMR(PMR),플래터 4장,26.11mm
6288809,"도시바 P300 7200/64M (HDWD120, 2TB)",https://img.danawa.com/prod_img/500000/809/288/img/6288809_1.jpg?shrink=330:330&_v=20211115130146,82900,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6288809&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=6288809&package=0&setpc=0&r=16678750987828,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.7,468,도시바,HDD (PC용),8.9cm(3.5인치),2TB,SATA3 (6Gb/s),"7,200RPM",메모리 64MB,,CMR(PMR),,26.1mm
8038456,"도시바 N300 7200/128M (HDWQ140, 4TB)",https://img.danawa.com/prod_img/500000/456/038/img/8038456_1.jpg?shrink=330:330&_v=20220228093945,154880,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=8038456&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=8038456&package=0&setpc=0&r=16678750572437,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.6,196,도시바 ( 제조사 웹사이트 바로가기),HDD (NAS용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"7,200RPM",메모리 128MB,최대 204MB/s,CMR(PMR),,26.1mm
3440288,"Western Digital WD BLUE 5400/64M (WD40EZRZ, 4TB)",https://img.danawa.com/prod_img/500000/288/440/img/3440288_1.jpg?shrink=330:330&_v=20210412173911,149900,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=3440288&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2856514792&package=0&setpc=0&r=16678752336355,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,1268,Western Digital WD,HDD (PC용),8.9cm(3.5인치),4TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,최대 150MB/s,CMR(PMR),,26.1mm
7691845,"Western Digital WD BLUE 5400/256M (WD20EZAZ, 2TB)",https://img.danawa.com/prod_img/500000/845/691/img/7691845_1.jpg?shrink=330:330&_v=20200528094213,75990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=7691845&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5552982930&package=0&setpc=0&r=16678749892353,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.7,633,Western Digital WD,HDD (PC용),8.9cm(3.5인치),2TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 170MB/s,SMR(PMR),,26.1mm
4490034,"Seagate BarraCuda 7200/64M (ST1000DM010, 1TB)",https://img.danawa.com/prod_img/500000/034/490/img/4490034_1.jpg?shrink=330:330&_v=20220629140659,69000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=4490034&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2512284717&package=0&setpc=0&r=16678750083116,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,1633,Seagate,HDD (PC용),8.9cm(3.5인치),1TB,SATA3 (6Gb/s),"7,200RPM",메모리 64MB,최대 210MB/s,TGMR,플래터 1장,20.2mm
5862779,"Western Digital WD MOBILE BLUE 5400/128M/노트북용 (WD20SPZX, 2TB)",https://img.danawa.com/prod_img/500000/779/862/img/5862779_1.jpg?shrink=330:330&_v=20210830113147,89830,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=978&cate4=0&pcode=5862779&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5489036656&package=0&setpc=0&r=16678749087166,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.7,742,Western Digital WD,HDD (노트북용),6.4cm(2.5인치),2TB,SATA3 (6Gb/s),"5,400RPM",메모리 128MB,,SMR(PMR),,7mm
7616842,Western Digital Ultrastar DC HC310 패키지 7200/256M HUS726T4TALA6L4 (4TB),https://img.danawa.com/prod_img/500000/842/616/img/7616842_1.jpg?shrink=330:330&_v=20211019134532,179000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=7616842&cmpnyc=PV406&safe_trade=4&fee_type=A&link_pcode=181&package=0&setpc=0&r=16678749274162,시에스엠플러스,https://img.danawa.com/cmpny_info/images/PV406_logo.gif,4.8,332,Western Digital,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,최대 243MB/s,확인요망(PMR),플래터 4장,26.1mm
15765761,"Western Digital WD BLUE 5640/128M (WD80EAZZ, 8TB)",https://img.danawa.com/prod_img/500000/761/765/img/15765761_1.jpg?shrink=330:330&_v=20211206151137,186970,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=15765761&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565696168&package=0&setpc=0&r=16678747955968,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.7,186,Western Digital WD,HDD (PC용),8.9cm(3.5인치),8TB,SATA3(6Gb/s),"5,640RPM",메모리 128MB,185MB/s,CMR(PMR),,26.1mm
7137016,"Sebap Amigos 7200/32M/리퍼비시 (SM1050RS, 500GB)",https://img.danawa.com/prod_img/500000/016/137/img/7137016_1.jpg?shrink=330:330&_v=20200528134423,24400,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=17942&cate4=0&pcode=7137016&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2567872750&package=0&setpc=0&r=16678760968280,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,7,Sebap,HDD (리퍼비시),8.9cm(3.5인치),500GB,SATA3 (6Gb/s),"7,200RPM",메모리 32MB,최대 140MB/s,확인요망(PMR),,26.1mm
13522751,"Western Digital WD BLUE 7200/256M (WD20EZBX, 2TB)",https://img.danawa.com/prod_img/500000/751/522/img/13522751_1.jpg?shrink=330:330&_v=20210305135225,77950,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=13522751&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565686072&package=0&setpc=0&r=16678748202141,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.8,288,Western Digital WD,HDD (PC용),8.9cm(3.5인치),2TB,SATA3(6Gb/s),"7,200RPM",메모리 256MB,215MB/s,SMR(PMR),,26.1mm
1795206,"도시바 DT01 7200/64M (DT01ACA300, 3TB)",https://img.danawa.com/prod_img/500000/206/795/img/1795206_1.jpg?shrink=330:330&_v=20200528112851,102270,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=1795206&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2290769309&package=0&setpc=0&r=16678755105686,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.6,1216,도시바,HDD (PC용),8.9cm(3.5인치),3TB,SATA3(6Gb/s),"7,200RPM",메모리 64MB,,,,26.1mm
13590608,"Western Digital WD BLUE 5400/256M (WD40EZAZ, 4TB)",https://img.danawa.com/prod_img/500000/608/590/img/13590608_1.jpg?shrink=330:330&_v=20210312175441,116810,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=13590608&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565686285&package=0&setpc=0&r=16678749838936,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.7,269,Western Digital WD,HDD (PC용),8.9cm(3.5인치),4TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 180MB/s,SMR(PMR),,26.1mm
6288821,"도시바 P300 7200/64M (HDWD130, 3TB)",https://img.danawa.com/prod_img/500000/821/288/img/6288821_1.jpg?shrink=330:330&_v=20211115130302,109900,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6288821&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=6288821&package=0&setpc=0&r=16678750941548,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.7,402,도시바,HDD (PC용),8.9cm(3.5인치),3TB,SATA3 (6Gb/s),"7,200RPM",메모리 64MB,,CMR(PMR),,26.1mm
3474055,"Western Digital WD BLUE 5400/64M (WD20EZRZ, 2TB)",https://img.danawa.com/prod_img/500000/055/474/img/3474055_1.jpg?shrink=330:330&_v=20200528094214,79000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=3474055&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2239533833&package=0&setpc=0&r=16678752426148,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,1228,Western Digital WD,HDD (PC용),8.9cm(3.5인치),2TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,최대 147MB/s,확인요망(PMR),,26.1mm
2212162,"Western Digital WD RED 5400/64M (WD40EFRX, 4TB)",https://img.danawa.com/prod_img/500000/162/212/img/2212162_1.jpg?shrink=330:330&_v=20200729134517,159000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=2212162&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1480219444&package=0&setpc=0&r=16678750641658,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.8,820,Western Digital WD,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,최대 150MB/s,CMR(PMR),플래터 3장,26.1mm
5764951,"Seagate BarraCuda 5400/256M (ST6000DM003, 6TB)",https://img.danawa.com/prod_img/500000/951/764/img/5764951_1.jpg?shrink=330:330&_v=20220629141328,165000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5764951&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=7882133606&package=0&setpc=0&r=16678748085815,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,4.6,131,Seagate,HDD (PC용),8.9cm(3.5인치),6TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 185MB/s,SMR(PMR),플래터 3장,26.11mm
6295581,"도시바 X300 7200/128M (HDWE140, 4TB)",https://img.danawa.com/prod_img/500000/581/295/img/6295581_1.jpg?shrink=330:330&_v=20200528134742,150000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6295581&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1485098604&package=0&setpc=0&r=16678750901994,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,190,도시바,HDD (PC용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"7,200RPM",메모리 128MB,,확인요망(PMR),,26.1mm
6295608,"도시바 X300 7200/256M (HDWR180, 8TB)",https://img.danawa.com/prod_img/500000/608/295/img/6295608_1.jpg?shrink=330:330&_v=20200528134739,279000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6295608&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3972153289&package=0&setpc=0&r=16678750381047,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.6,49,도시바,HDD (PC용),8.9cm(3.5인치),8TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,,확인요망(PMR),,26.1mm
5814316,"Western Digital WD PURPLE 5400/64M (WD40PURZ, 4TB)",https://img.danawa.com/prod_img/500000/316/814/img/5814316_1.jpg?shrink=330:330&_v=20200528104836,158000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=5814316&cmpnyc=TU48C&safe_trade=4&fee_type=N&link_pcode=5081894203&package=0&setpc=0&r=16678751474537,WD공식인증점,,4.7,341,Western Digital WD,HDD (CCTV용),8.9cm(3.5인치),4TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,최대 150MB/s,CMR(PMR),,26.1mm
5638941,"Seagate BarraCuda 5400/256M/해외구매 (ST4000DM004, 4TB)",https://img.danawa.com/prod_img/500000/941/638/img/5638941_1.jpg?shrink=330:330&_v=20200528093625,81540,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5638941&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1688486464&package=0&setpc=0&r=16678748808756,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.6,195,Seagate,HDD (PC용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"5,400RPM",메모리 256MB,,SMR(PMR),,20mm
1218955,"Western Digital WD BLUE 7200/16M (WD5000AAKX, 500GB)",https://img.danawa.com/prod_img/500000/955/218/img/1218955_1.jpg?shrink=330:330&_v=20200528094214,62790,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=1218955&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=477994085&package=0&setpc=0&r=16678755785161,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,87,Western Digital WD,HDD (PC용),8.9cm(3.5인치),500GB,SATA3(6Gb/s),"7,200RPM",메모리 16MB,최대 126MB/s,,,25.4mm
6288798,"도시바 P300 7200/64M (HDWD110, 1TB)",https://img.danawa.com/prod_img/500000/798/288/img/6288798_1.jpg?shrink=330:330&_v=20211115130248,62900,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6288798&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=6288798&package=0&setpc=0&r=16678751025812,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.7,159,도시바,HDD (PC용),8.9cm(3.5인치),1TB,SATA3 (6Gb/s),"7,200RPM",메모리 64MB,,CMR(PMR),,26.1mm
4555795,"Seagate IronWolf 5900/64M (ST4000VN008, 4TB)",https://img.danawa.com/prod_img/500000/795/555/img/4555795_1.jpg?shrink=330:330&_v=20220629140050,175000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=4555795&cmpnyc=COM25&safe_trade=2&fee_type=S&link_pcode=&package=0&setpc=0&r=16678749676083,㈜근호컴,https://img.danawa.com/cmpny_info/images/COM25_logo.gif,4.7,553,Seagate,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"5,900RPM",메모리 64MB,최대 180MB/s,,플래터 3장,26.1mm
1920195,"Western Digital WD Caviar Blue 7200/64M/리퍼비시 (WD10EZEX, 1TB)",https://img.danawa.com/prod_img/500000/195/920/img/1920195_1.jpg?shrink=330:330&_v=20200528100050,44700,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=17942&cate4=0&pcode=1920195&cmpnyc=TT821F&safe_trade=4&fee_type=N&link_pcode=455900954&package=0&setpc=0&r=16678755618140,데이터복구명정보기술,,4.6,272,Western Digital WD,HDD (리퍼비시),8.9cm(3.5인치),1TB,SATA3(6Gb/s),"7,200RPM",메모리 64MB,,,,
5657614,"Seagate BarraCuda 5400/256M (ST3000DM007, 3TB)",https://img.danawa.com/prod_img/500000/614/657/img/5657614_1.jpg?shrink=330:330&_v=20220629141256,119000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5657614&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2575800101&package=0&setpc=0&r=16678748162754,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,240,Seagate,HDD (PC용),8.9cm(3.5인치),3TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 185MB/s,SMR(PMR),플래터 2장,20.2mm
5814177,"Western Digital WD PURPLE 5400/64M (WD20PURZ, 2TB)",https://img.danawa.com/prod_img/500000/177/814/img/5814177_1.jpg?shrink=330:330&_v=20200528104836,72000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=5814177&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1952025714&package=0&setpc=0&r=16678751629474,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.8,276,Western Digital WD,HDD (CCTV용),8.9cm(3.5인치),2TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,최대 145MB/s,CMR(PMR),,26.1mm
5386514,"Western Digital WD MOBILE BLUE 5400/128M/노트북용 (WD10SPZX, 1TB)",https://img.danawa.com/prod_img/500000/514/386/img/5386514_1.jpg?shrink=330:330&_v=20200528094937,60810,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=978&cate4=0&pcode=5386514&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5489031154&package=0&setpc=0&r=16678749121249,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.7,828,Western Digital WD,HDD (노트북용),6.4cm(2.5인치),1TB,SATA3 (6Gb/s),"5,400RPM",메모리 128MB,,SMR(PMR),플래터 1장,7mm
1790810,"도시바 DT01 7200/64M (DT01ACA200, 2TB)",https://img.danawa.com/prod_img/500000/810/790/img/1790810_1.jpg?shrink=330:330&_v=20200528112851,61890,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=1790810&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B235796344&package=0&setpc=0&r=16678755145990,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.6,535,도시바,HDD (PC용),8.9cm(3.5인치),2TB,SATA3(6Gb/s),"7,200RPM",메모리 64MB,,,,26.1mm
10780305,"Western Digital WD RED 5400/256M (WD40EFAX, 4TB)",https://img.danawa.com/prod_img/500000/305/780/img/10780305_1.jpg?shrink=330:330&_v=20200528105319,158990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=10780305&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1893111530&package=0&setpc=0&r=16678753616658,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.2,29,Western Digital WD,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 180MB/s,SMR(PMR),플래터 3장,26.1mm
7691887,"Western Digital WD BLUE 5400/256M (WD60EZAZ, 6TB)",https://img.danawa.com/prod_img/500000/887/691/img/7691887_1.jpg?shrink=330:330&_v=20211206171308,160410,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=7691887&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5552983016&package=0&setpc=0&r=16678749799805,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.5,53,Western Digital WD,HDD (PC용),8.9cm(3.5인치),6TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 180MB/s,SMR(PMR),,26.1mm
1464268,"Seagate BarraCuda 7200/16M (ST500DM002, 500GB)",https://img.danawa.com/prod_img/500000/268/464/img/1464268_1.jpg?shrink=330:330&_v=20200528093631,64990,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=1464268&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=779085123&package=0&setpc=0&r=16678755932238,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.9,65,Seagate,HDD (PC용),8.9cm(3.5인치),500GB,SATA3(6Gb/s),"7,200RPM",메모리 16MB,,,,20mm
4607468,"Seagate BarraCuda 5400/128M/노트북용 (ST2000LM015, 2TB)",https://img.danawa.com/prod_img/500000/468/607/img/4607468_1.jpg?shrink=330:330&_v=20220629142846,99000,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=978&cate4=0&pcode=4607468&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1000802771&package=0&setpc=0&r=16678751982942,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.7,992,Seagate,HDD (노트북용),6.4cm(2.5인치),2TB,SATA3 (6Gb/s),"5,400RPM",메모리 128MB,최대 140MB/s,SMR(PMR),플래터 2장,7mm
1534022,"Seagate BarraCuda 7200/64M (ST2000DM001, 2TB)",https://img.danawa.com/prod_img/500000/022/534/img/1534022_1.jpg?shrink=330:330&_v=20200528093631,87170,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=1534022&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=779090191&package=0&setpc=0&r=16678750015399,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,247,Seagate,HDD (PC용),8.9cm(3.5인치),2TB,SATA3(6Gb/s),"7,200RPM",메모리 64MB,,,,26.1mm
